,FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,longitude,latitude
37,01/04/2015 12:00:00 AM,"2,015",1,Dom,03:24:00:AM,Solo daños,Choque,CALLE 110 CR 9G,,,1,-74.83877919999998,10.994553300000002
38,01/04/2015 12:00:00 AM,"2,015",1,Dom,03:30:00:PM,Solo daños,Choque,CR 22 48 46,,,1,-74.7953718,10.9666373
39,01/04/2015 12:00:00 AM,"2,015",1,Dom,07:00:00:PM,Solo daños,Choque,CRA 23 CLLE 57,,,1,-74.80135670000001,10.9698974
40,01/04/2015 12:00:00 AM,"2,015",1,Dom,11:40:00:AM,Solo daños,Choque,CL 94 CR 3B,,,1,-74.8268366,10.9395185
41,01/05/2015 12:00:00 AM,"2,015",1,Lun,02:20:00:PM,Solo daños,Choque,CLLE 53 CRA 50 21,,,1,-74.7979588,10.9651412
42,01/05/2015 12:00:00 AM,"2,015",1,Lun,02:30:00:PM,Solo daños,Choque,CLLE 99 CRA 53,,,1,-74.82753829999999,11.0145774
43,01/05/2015 12:00:00 AM,"2,015",1,Lun,04:00:00:PM,Solo daños,Choque,CLLE 45 CRA 36,,,1,-74.7877793,10.977944599999999
44,01/05/2015 12:00:00 AM,"2,015",1,Lun,04:50:00:PM,Con heridos,Choque,CLLE C30 CRA 6,1.0,,1,-74.8240988,10.944885099999999
45,01/05/2015 12:00:00 AM,"2,015",1,Lun,06:30:00:PM,Solo daños,Choque,CR 39 CL 73,,,1,-74.8101875,10.9876538
46,01/05/2015 12:00:00 AM,"2,015",1,Lun,07:00:00:AM,Solo daños,Choque,CL 40 25 07,,,1,-74.7881065,10.9664317
47,01/05/2015 12:00:00 AM,"2,015",1,Lun,07:40:00:AM,Solo daños,Choque,CLLE 79 CRA 53,,,1,-74.8081282,11.004304
48,01/05/2015 12:00:00 AM,"2,015",1,Lun,08:00:00:AM,Solo daños,Choque,CALLE 41 CR 7C,,,1,-74.79607969999998,10.943248599999999
49,01/05/2015 12:00:00 AM,"2,015",1,Lun,08:15:00:AM,Solo daños,Choque,CR 38 34 13,,,1,-74.77951920000001,10.9771422
50,01/05/2015 12:00:00 AM,"2,015",1,Lun,10:20:00:AM,Solo daños,Choque,CRA 52 CLLE 86,,,1,-74.8193692,11.0077415
51,01/05/2015 12:00:00 AM,"2,015",1,Lun,10:40:00:AM,Solo daños,Choque,CR 43 CL 48 Y CL 50,,,1,-74.7886506,10.983543
52,01/05/2015 12:00:00 AM,"2,015",1,Lun,12:00:00:PM,Solo daños,Choque,CARRERA 27 CALLE 70,,,1,-74.81013670000002,10.9769174
53,01/05/2015 12:00:00 AM,"2,015",1,Lun,12:30:00:PM,Con heridos,Choque,CALLE 75 CR 72,1.0,,1,-74.79444560000002,11.0110286
54,01/05/2015 12:00:00 AM,"2,015",1,Lun,12:30:00:PM,Solo daños,Choque,CALLE 37 CR 25,,,1,-74.78578209999998,10.9653904
55,01/06/2015 12:00:00 AM,"2,015",1,Mar,01:35:00:PM,Solo daños,Choque,CLLE 80 CRA 49C,,,1,-74.81338170000001,11.0010288
56,01/06/2015 12:00:00 AM,"2,015",1,Mar,03:15:00:PM,Solo daños,Choque,CL 95 CR 49D,,,1,-74.8273778,11.0079605
57,01/06/2015 12:00:00 AM,"2,015",1,Mar,03:40:00:PM,Solo daños,Choque,CRA 49C CLLE 91,,,1,-74.8243944,11.0059384
58,01/06/2015 12:00:00 AM,"2,015",1,Mar,03:50:00:PM,Solo daños,Choque,VIA 40 CL 79,,,1,-74.7987376,11.0205754
59,01/06/2015 12:00:00 AM,"2,015",1,Mar,04:45:00:PM,Solo daños,Choque,CRA 43 CLLE 80,,,1,-74.81584769999998,10.9964867
60,01/06/2015 12:00:00 AM,"2,015",1,Mar,06:10:00:PM,Solo daños,Choque,CL 74 CR 56,,,1,-74.8011686,11.001595
61,01/06/2015 12:00:00 AM,"2,015",1,Mar,06:15:00:PM,Con heridos,Choque,CL 114 CR 11,1.0,,1,-74.83879820000001,10.963877900000002
62,01/06/2015 12:00:00 AM,"2,015",1,Mar,07:55:00:AM,Solo daños,Choque,CALLE 76 CR 39,,,1,-74.8138629,10.990493699999998
63,01/06/2015 12:00:00 AM,"2,015",1,Mar,08:30:00:AM,Solo daños,Choque,CR 40 CL 33,,,1,-74.7781181,10.9786913
64,01/06/2015 12:00:00 AM,"2,015",1,Mar,09:20:00:AM,Solo daños,Choque,CALLE 70 CR 60,,,1,-74.79600140000001,11.001161999999999
65,01/06/2015 12:00:00 AM,"2,015",1,Mar,10:40:00:AM,Solo daños,Choque,CALLE 110 12F 29,,,1,-74.8383805,10.967611300000002
66,01/06/2015 12:00:00 AM,"2,015",1,Mar,12:15:00:PM,Solo daños,Otro,VIA 40 CLLE 85,,,1,-74.8037791,11.0263731
67,01/07/2015 12:00:00 AM,"2,015",1,Mié,01:25:00:PM,Solo daños,Choque,CLLE 19 CRA 2C,,,1,-74.77926110000001,10.938053
68,01/07/2015 12:00:00 AM,"2,015",1,Mié,01:50:00:PM,Con heridos,Choque,CLLE 68B CRA 26B,1.0,,1,-74.8083194,10.975506800000002
69,01/07/2015 12:00:00 AM,"2,015",1,Mié,03:00:00:PM,Solo daños,Choque,CLLE 90 CRA 2,,,1,-74.8241118,10.9363179
70,01/07/2015 12:00:00 AM,"2,015",1,Mié,05:15:00:PM,Solo daños,Choque,CALLE 74 58 26,,,1,-74.79935669999998,11.002891499999999
71,01/07/2015 12:00:00 AM,"2,015",1,Mié,06:10:00:AM,Con heridos,Choque,CRA 50 CLLE 45,2.0,,1,-74.78405160000001,10.9896904
72,01/07/2015 12:00:00 AM,"2,015",1,Mié,06:20:00:PM,Solo daños,Choque,CRA 38 CLLE 70B,,,1,-74.80901290000001,10.984846699999999
73,01/07/2015 12:00:00 AM,"2,015",1,Mié,06:50:00:PM,Solo daños,Choque,CRA 60 CLLE 79,,,1,-74.8053466,11.0095477
74,01/07/2015 12:00:00 AM,"2,015",1,Mié,06:59:00:AM,Solo daños,Choque,CALLE 84B CR 39A,,,1,-74.83371770000001,10.9848154
75,01/07/2015 12:00:00 AM,"2,015",1,Mié,07:30:00:AM,Solo daños,Choque,AVENIDA 110 CRA 15,,,1,-74.77620259999998,10.9535005
76,01/07/2015 12:00:00 AM,"2,015",1,Mié,08:10:00:AM,Solo daños,Choque,CR38 CL 43,,,1,-74.78515159999998,10.9792101
77,01/07/2015 12:00:00 AM,"2,015",1,Mié,09:10:00:AM,Solo daños,Choque,CLLE 17 CRA 8,,,1,-74.77345809999998,10.948341000000001
78,01/07/2015 12:00:00 AM,"2,015",1,Mié,09:50:00:AM,Solo daños,Choque,cCLLE 70C CRA 25B,,,1,-74.810198,10.9745164
