,the_geom,name,description,No.,CODIGO,LATITUD,LONGITUD,ICONO
13,POINT (-74.7839898 10.9622783),CALLE 30 CON CARRERA 23 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 19<br>
<b>CODIGO:</b> 2511<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 23 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9622783<br>
<b>LONGITUD:</b> -74.7839898<br>
<b>ICONO:</b> small_green
</div>",19,2511,10.962278300000001,-74.78398979999999,small_green
14,POINT (-74.783424 10.963379),CALLE 30 CON CARRERA 24 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 20<br>
<b>CODIGO:</b> 1510<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 24 BARRANQUILLA<br>
<b>LATITUD:</b> 10.963379<br>
<b>LONGITUD:</b> -74.783424<br>
<b>ICONO:</b> small_green
</div>",20,1510,10.963379,-74.783424,small_green
15,POINT (-74.7831608 10.9643142),CALLE 30 CON CARRERA 25 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 21<br>
<b>CODIGO:</b> 1510<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 25 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9643142<br>
<b>LONGITUD:</b> -74.7831608<br>
<b>ICONO:</b> small_green
</div>",21,1510,10.964314199999999,-74.7831608,small_green
16,POINT (-74.7821481 10.9666814),CALLE 30 CON CARRERA 28 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 22<br>
<b>CODIGO:</b> 2512<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 28 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9666814<br>
<b>LONGITUD:</b> -74.7821481<br>
<b>ICONO:</b> small_green
</div>",22,2512,10.9666814,-74.78214809999999,small_green
17,POINT (-74.7808624 10.9691942),CALLE 30 CON CARRERA 30 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 23<br>
<b>CODIGO:</b> 1514<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 30 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9691942<br>
<b>LONGITUD:</b> -74.7808624<br>
<b>ICONO:</b> small_green
</div>",23,1514,10.969194199999999,-74.7808624,small_green
18,POINT (-74.7773309 10.9762252),CALLE 30 CON CARRERA 38 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 24<br>
<b>CODIGO:</b> 1126<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 38 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9762252<br>
<b>LONGITUD:</b> -74.7773309<br>
<b>ICONO:</b> small_green
</div>",24,1126,10.9762252,-74.7773309,small_green
19,POINT (-74.7826357 10.9397426),CALLE 30 CON CARRERA 4 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 25<br>
<b>CODIGO:</b> 2503<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 4 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9397426<br>
<b>LONGITUD:</b> -74.7826357<br>
<b>ICONO:</b> small_green
</div>",25,2503,10.939742599999999,-74.78263570000001,small_green
20,POINT (-74.776502 10.9776657),CALLE 30 CON CARRERA 40 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 26<br>
<b>CODIGO:</b> 1126<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 40 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9776657<br>
<b>LONGITUD:</b> -74.776502<br>
<b>ICONO:</b> small_green
</div>",26,1126,10.9776657,-74.77650200000001,small_green
21,POINT (-74.7753824 10.9811718),CALLE 30 CON CARRERA 43 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 27<br>
<b>CODIGO:</b> 2104<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 43 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9811718<br>
<b>LONGITUD:</b> -74.7753824<br>
<b>ICONO:</b> small_green
</div>",27,2104,10.9811718,-74.7753824,small_green
22,POINT (-74.77556 10.9825115),CALLE 30 CON CARRERA 44 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 28<br>
<b>CODIGO:</b> 2105<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 44 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9825115<br>
<b>LONGITUD:</b> -74.77556<br>
<b>ICONO:</b> small_green
</div>",28,2105,10.982511500000001,-74.77556,small_green
23,POINT (-74.7769683 10.9857315),CALLE 30 CON CARRERA 46 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 29<br>
<b>CODIGO:</b> 3046<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 46 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9857315<br>
<b>LONGITUD:</b> -74.7769683<br>
<b>ICONO:</b> small_green
</div>",29,3046,10.9857315,-74.7769683,small_green
24,POINT (-74.7847508 10.9469744),CALLE 30 CON CARRERA 8 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 30<br>
<b>CODIGO:</b> 1504<br>
<b>LOCALIZACION:</b> CALLE 30 CON CARRERA 8 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9469744<br>
<b>LONGITUD:</b> -74.7847508<br>
<b>ICONO:</b> small_green
</div>",30,1504,10.9469744,-74.7847508,small_green
25,POINT (-74.781744 10.93674),CALLE 30 ENTRE CARRERAS 1 Y 2 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 31<br>
<b>CODIGO:</b> 3001<br>
<b>LOCALIZACION:</b> CALLE 30 ENTRE CARRERAS 1 Y 2 BARRANQUILLA<br>
<b>LATITUD:</b> 10.936740<br>
<b>LONGITUD:</b> -74.781744<br>
<b>ICONO:</b> small_green
</div>",31,3001,10.936739999999999,-74.78174399999999,small_green
26,POINT (-74.7794114 10.9771),CALLE 34 CON CARRERA 38 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 32<br>
<b>CODIGO:</b> 2129<br>
<b>LOCALIZACION:</b> CALLE 34 CON CARRERA 38 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9771<br>
<b>LONGITUD:</b> -74.7794114<br>
<b>ICONO:</b> small_green
</div>",32,2129,10.9771,-74.7794114,small_green
27,POINT (-74.7787315 10.9790133),CALLE 34 CON CARRERA 40 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 33<br>
<b>CODIGO:</b> 2132<br>
<b>LOCALIZACION:</b> CALLE 34 CON CARRERA 40 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9790133<br>
<b>LONGITUD:</b> -74.7787315<br>
<b>ICONO:</b> small_green
</div>",33,2132,10.9790133,-74.77873149999999,small_green
