the_geom,name,description,No.,CODIGO,LATITUD,LONGITUD,ICONO
POINT (-74.7911115 10.9665101),CALLE 45 CON CARRERA 24 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 70<br>
<b>CODIGO:</b> 2424<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 24 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9665101<br>
<b>LONGITUD:</b> -74.7911115<br>
<b>ICONO:</b> small_green
</div>",70,2424,10.9665101,-74.7911115,small_green
POINT (-74.7906379 10.9680692),CALLE 45 CON CARRERA 26 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 71<br>
<b>CODIGO:</b> 4526<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 26 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9680692<br>
<b>LONGITUD:</b> -74.7906379<br>
<b>ICONO:</b> small_green
</div>",71,4526,10.9680692,-74.7906379,small_green
POINT (-74.7901346 10.9696249),CALLE 45 CON CARRERA 27 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 72<br>
<b>CODIGO:</b> 4526<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 27 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9696249<br>
<b>LONGITUD:</b> -74.7901346<br>
<b>ICONO:</b> small_green
</div>",72,4526,10.9696249,-74.7901346,small_green
POINT (-74.7993457 10.9337912),CALLE 45 CON CARRERA 2A BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 73<br>
<b>CODIGO:</b> 4501<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 2A BARRANQUILLA<br>
<b>LATITUD:</b> 10.9337912<br>
<b>LONGITUD:</b> -74.7993457<br>
<b>ICONO:</b> small_green
</div>",73,4501,10.9337912,-74.7993457,small_green
POINT (-74.7894355 10.9720192),CALLE 45 CON CARRERA 30 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 74<br>
<b>CODIGO:</b> 2430<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 30 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9720192<br>
<b>LONGITUD:</b> -74.7894355<br>
<b>ICONO:</b> small_green
</div>",74,2430,10.9720192,-74.7894355,small_green
POINT (-74.7884841 10.9751144),CALLE 45 CON CARRERA 33 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 75<br>
<b>CODIGO:</b> 2438<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 33 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9751144<br>
<b>LONGITUD:</b> -74.7884841<br>
<b>ICONO:</b> small_green
</div>",75,2438,10.9751144,-74.7884841,small_green
POINT (-74.777582 10.9838136),CALLE 45 CON CARRERA 34 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 76<br>
<b>CODIGO:</b> 4534<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 34 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9838136<br>
<b>LONGITUD:</b> -74.777582<br>
<b>ICONO:</b> small_green
</div>",76,4534,10.9838136,-74.777582,small_green
POINT (-74.7874841 10.978146),CALLE 45 CON CARRERA 36 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 77<br>
<b>CODIGO:</b> 4534<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 36 BARRANQUILLA<br>
<b>LATITUD:</b> 10.978146<br>
<b>LONGITUD:</b> -74.7874841<br>
<b>ICONO:</b> small_green
</div>",77,4534,10.978146,-74.7874841,small_green
POINT (-74.7871283 10.9798372),CALLE 45 CON CARRERA 38 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 78<br>
<b>CODIGO:</b> 2440<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 38 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9798372<br>
<b>LONGITUD:</b> -74.7871283<br>
<b>ICONO:</b> small_green
</div>",78,2440,10.9798372,-74.7871283,small_green
POINT (-74.7993309 10.9383337),CALLE 45 CON CARRERA 4 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 79<br>
<b>CODIGO:</b> 2402<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 4 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9383337<br>
<b>LONGITUD:</b> -74.7993309<br>
<b>ICONO:</b> small_green
</div>",79,2402,10.9383337,-74.7993309,small_green
POINT (-74.7867596 10.981457),CALLE 45 CON CARRERA 41 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 80<br>
<b>CODIGO:</b> 4541<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 41 BARRANQUILLA<br>
<b>LATITUD:</b> 10.981457<br>
<b>LONGITUD:</b> -74.7867596<br>
<b>ICONO:</b> small_green
</div>",80,4541,10.981457,-74.7867596,small_green
POINT (-74.7863391 10.9830068),CALLE 45 CON CARRERA 43 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 81<br>
<b>CODIGO:</b> 2136<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 43 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9830068<br>
<b>LONGITUD:</b> -74.7863391<br>
<b>ICONO:</b> small_green
</div>",81,2136,10.9830068,-74.7863391,small_green
POINT (-74.7857557 10.9845719),CALLE 45 CON CARRERA 44 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 82<br>
<b>CODIGO:</b> 2144<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 44 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9845719<br>
<b>LONGITUD:</b> -74.7857557<br>
<b>ICONO:</b> small_green
</div>",82,2144,10.9845719,-74.7857557,small_green
POINT (-74.7852241 10.9864681),CALLE 45 CON CARRERA 45 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 83<br>
<b>CODIGO:</b> 2135<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 45 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9864681<br>
<b>LONGITUD:</b> -74.7852241<br>
<b>ICONO:</b> small_green
</div>",83,2135,10.9864681,-74.7852241,small_green
POINT (-74.7849389 10.9873617),CALLE 45 CON CARRERA 46 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 84<br>
<b>CODIGO:</b> 4546<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 46 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9873617<br>
<b>LONGITUD:</b> -74.7849389<br>
<b>ICONO:</b> small_green
</div>",84,4546,10.9873617,-74.7849389,small_green
POINT (-74.7840489 10.9896613),CALLE 45 CON CARRERA 50 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 85<br>
<b>CODIGO:</b> 4550<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 50 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9896613<br>
<b>LONGITUD:</b> -74.7840489<br>
<b>ICONO:</b> small_green
</div>",85,4550,10.9896613,-74.7840489,small_green
POINT (-74.7993874 10.9413601),CALLE 45 CON CARRERA 7 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 86<br>
<b>CODIGO:</b> 2403<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 7 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9413601<br>
<b>LONGITUD:</b> -74.7993874<br>
<b>ICONO:</b> small_green
</div>",86,2403,10.9413601,-74.7993874,small_green
POINT (-74.7994937 10.9428048),CALLE 45 CON CARRERA 7C BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 87<br>
<b>CODIGO:</b> 2403<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 7C BARRANQUILLA<br>
<b>LATITUD:</b> 10.9428048<br>
<b>LONGITUD:</b> -74.7994937<br>
<b>ICONO:</b> small_green
</div>",87,2403,10.9428048,-74.7994937,small_green
POINT (-74.7996238 10.9461818),CALLE 45 CON CARRERA 8 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 88<br>
<b>CODIGO:</b> 4508<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 8 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9461818<br>
<b>LONGITUD:</b> -74.7996238<br>
<b>ICONO:</b> small_green
</div>",88,4508,10.9461818,-74.7996238,small_green
POINT (-74.7996782 10.9478098),CALLE 45 CON CARRERA 8C BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 89<br>
<b>CODIGO:</b> 4508<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERA 8C BARRANQUILLA<br>
<b>LATITUD:</b> 10.9478098<br>
<b>LONGITUD:</b> -74.7996782<br>
<b>ICONO:</b> small_green
</div>",89,4508,10.9478098,-74.7996782,small_green
POINT (-74.7968304 10.9543704),CALLE 45 CON CARRERAS 14 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 91<br>
<b>CODIGO:</b> 4517<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERAS 14 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9543704<br>
<b>LONGITUD:</b> -74.7968304<br>
<b>ICONO:</b> small_green
</div>",91,4517,10.9543704,-74.7968304,small_green
POINT (-74.7993202 10.9317964),CALLE 45 CON CARRERAS 1E BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 92<br>
<b>CODIGO:</b> 4501<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERAS 1E BARRANQUILLA<br>
<b>LATITUD:</b> 10.9317964<br>
<b>LONGITUD:</b> -74.7993202<br>
<b>ICONO:</b> small_green
</div>",92,4501,10.9317964,-74.7993202,small_green
POINT (-74.7941408 10.9599332),CALLE 45 CON CARRERAS 20 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 93<br>
<b>CODIGO:</b> 4520<br>
<b>LOCALIZACION:</b> CALLE 45 CON CARRERAS 20 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9599332<br>
<b>LONGITUD:</b> -74.7941408<br>
<b>ICONO:</b> small_green
</div>",93,4520,10.9599332,-74.7941408,small_green
POINT (-74.8032998 10.9587401),CALLE 47 CON CARRERA 14 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 95<br>
<b>CODIGO:</b> 1412<br>
<b>LOCALIZACION:</b> CALLE 47 CON CARRERA 14 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9587401<br>
<b>LONGITUD:</b> -74.8032998<br>
<b>ICONO:</b> small_green
</div>",95,1412,10.9587401,-74.8032998,small_green
POINT (-74.8016144 10.9598037),CALLE 47 CON CARRERA 16 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 96<br>
<b>CODIGO:</b> 1414<br>
<b>LOCALIZACION:</b> CALLE 47 CON CARRERA 16 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9598037<br>
<b>LONGITUD:</b> -74.8016144<br>
<b>ICONO:</b> small_green
</div>",96,1414,10.9598037,-74.8016144,small_green
POINT (-74.7997901 10.9607035),CALLE 47 CON CARRERA 18 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 97<br>
<b>CODIGO:</b> 1415<br>
<b>LOCALIZACION:</b> CALLE 47 CON CARRERA 18 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9607035<br>
<b>LONGITUD:</b> -74.7997901<br>
<b>ICONO:</b> small_green
</div>",97,1415,10.9607035,-74.7997901,small_green
POINT (-74.7950824 10.96297),CALLE 47 CON CARRERA 21 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 98<br>
<b>CODIGO:</b> 1416<br>
<b>LOCALIZACION:</b> CALLE 47 CON CARRERA 21 BARRANQUILLA<br>
<b>LATITUD:</b> 10.96297<br>
<b>LONGITUD:</b> -74.7950824<br>
<b>ICONO:</b> small_green
</div>",98,1416,10.96297,-74.7950824,small_green
POINT (-74.7881549 10.9802137),CALLE 47 CON CARRERA 22 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 99<br>
<b>CODIGO:</b> 4722<br>
<b>LOCALIZACION:</b> CALLE 47 CON CARRERA 22 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9802137<br>
<b>LONGITUD:</b> -74.7881549<br>
<b>ICONO:</b> small_green
</div>",99,4722,10.9802137,-74.7881549,small_green
POINT (-74.7894946 10.9754357),CALLE 47 CON CARRERA 33 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 100<br>
<b>CODIGO:</b> 4733<br>
<b>LOCALIZACION:</b> CALLE 47 CON CARRERA 33 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9754357<br>
<b>LONGITUD:</b> -74.7894946<br>
<b>ICONO:</b> small_green
</div>",100,4733,10.9754357,-74.7894946,small_green
POINT (-74.7952014 10.9684734),CALLE 50 CON CARRERA 24 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 101<br>
<b>CODIGO:</b> 2318<br>
<b>LOCALIZACION:</b> CALLE 50 CON CARRERA 24 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9684734<br>
<b>LONGITUD:</b> -74.7952014<br>
<b>ICONO:</b> small_green
</div>",101,2318,10.9684734,-74.7952014,small_green
POINT (-74.7939952 10.9712039),CALLE 50 CON CARRERA 27 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 102<br>
<b>CODIGO:</b> 2317<br>
<b>LOCALIZACION:</b> CALLE 50 CON CARRERA 27 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9712039<br>
<b>LONGITUD:</b> -74.7939952<br>
<b>ICONO:</b> small_green
</div>",102,2317,10.9712039,-74.7939952,small_green
POINT (-74.791678 10.976169),CALLE 50 CON CARRERA 33 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 103<br>
<b>CODIGO:</b> 1436<br>
<b>LOCALIZACION:</b> CALLE 50 CON CARRERA 33 BARRANQUILLA<br>
<b>LATITUD:</b> 10.976169<br>
<b>LONGITUD:</b> -74.791678<br>
<b>ICONO:</b> small_green
</div>",103,1436,10.976169,-74.791678,small_green
POINT (-74.7903074 10.98066),CALLE 50 CON CARRERA 38 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 104<br>
<b>CODIGO:</b> 5138<br>
<b>LOCALIZACION:</b> CALLE 50 CON CARRERA 38 BARRANQUILLA<br>
<b>LATITUD:</b> 10.98066<br>
<b>LONGITUD:</b> -74.7903074<br>
<b>ICONO:</b> small_green
</div>",104,5138,10.98066,-74.7903074,small_green
POINT (-74.7899097 10.9820734),CALLE 50 CON CARRERA 41 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 105<br>
<b>CODIGO:</b> 5138<br>
<b>LOCALIZACION:</b> CALLE 50 CON CARRERA 41 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9820734<br>
<b>LONGITUD:</b> -74.7899097<br>
<b>ICONO:</b> small_green
</div>",105,5138,10.9820734,-74.7899097,small_green
POINT (-74.7893841 10.983771),CALLE 50 CON CARRERA 43 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 106<br>
<b>CODIGO:</b> 1139<br>
<b>LOCALIZACION:</b> CALLE 50 CON CARRERA 43 BARRANQUILLA<br>
<b>LATITUD:</b> 10.983771<br>
<b>LONGITUD:</b> -74.7893841<br>
<b>ICONO:</b> small_green
</div>",106,1139,10.983771,-74.7893841,small_green
POINT (-74.7888018 10.985343),CALLE 50 CON CARRERA 44 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 107<br>
<b>CODIGO:</b> 1139<br>
<b>LOCALIZACION:</b> CALLE 50 CON CARRERA 44 BARRANQUILLA<br>
<b>LATITUD:</b> 10.985343<br>
<b>LONGITUD:</b> -74.7888018<br>
<b>ICONO:</b> small_green
</div>",107,1139,10.985343,-74.7888018,small_green
POINT (-74.7882298 10.9873053),CALLE 50 CON CARRERA 45 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 108<br>
<b>CODIGO:</b> 1139<br>
<b>LOCALIZACION:</b> CALLE 50 CON CARRERA 45 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9873053<br>
<b>LONGITUD:</b> -74.7882298<br>
<b>ICONO:</b> small_green
</div>",108,1139,10.9873053,-74.7882298,small_green
POINT (-74.7879786 10.9881277),CALLE 50 CON CARRERA 46 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 109<br>
<b>CODIGO:</b> 2156<br>
<b>LOCALIZACION:</b> CALLE 50 CON CARRERA 46 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9881277<br>
<b>LONGITUD:</b> -74.7879786<br>
<b>ICONO:</b> small_green
</div>",109,2156,10.9881277,-74.7879786,small_green
POINT (-74.7912623 10.9808792),CALLE 51 CON CARRERA 38 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 110<br>
<b>CODIGO:</b> 5138<br>
<b>LOCALIZACION:</b> CALLE 51 CON CARRERA 38 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9808792<br>
<b>LONGITUD:</b> -74.7912623<br>
<b>ICONO:</b> small_green
</div>",110,5138,10.9808792,-74.7912623,small_green
POINT (-74.7897734 10.987717),CALLE 53 CON CARRERA 45 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 112<br>
<b>CODIGO:</b> 2156<br>
<b>LOCALIZACION:</b> CALLE 53 CON CARRERA 45 BARRANQUILLA<br>
<b>LATITUD:</b> 10.987717<br>
<b>LONGITUD:</b> -74.7897734<br>
<b>ICONO:</b> small_green
</div>",112,2156,10.987717,-74.7897734,small_green
POINT (-74.7895198 10.9885764),CALLE 53 CON CARRERA 46 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 113<br>
<b>CODIGO:</b> 2156<br>
<b>LOCALIZACION:</b> CALLE 53 CON CARRERA 46 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9885764<br>
<b>LONGITUD:</b> -74.7895198<br>
<b>ICONO:</b> small_green
</div>",113,2156,10.9885764,-74.7895198,small_green
POINT (-74.789138 10.9907409),CALLE 53 CON CARRERA 50 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 114<br>
<b>CODIGO:</b> 1277<br>
<b>LOCALIZACION:</b> CALLE 53 CON CARRERA 50 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9907409<br>
<b>LONGITUD:</b> -74.789138<br>
<b>ICONO:</b> small_green
</div>",114,1277,10.9907409,-74.789138,small_green
POINT (-74.7892454 10.9927375),CALLE 53 CON CARRERA 54 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 115<br>
<b>CODIGO:</b> 5354<br>
<b>LOCALIZACION:</b> CALLE 53 CON CARRERA 54 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9927375<br>
<b>LONGITUD:</b> -74.7892454<br>
<b>ICONO:</b> small_green
</div>",115,5354,10.9927375,-74.7892454,small_green
POINT (-74.8002887 10.9682144),CALLE 53D CON CARRERA 21B BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 116<br>
<b>CODIGO:</b> 2303<br>
<b>LOCALIZACION:</b> CALLE 53D CON CARRERA 21B BARRANQUILLA<br>
<b>LATITUD:</b> 10.9682144<br>
<b>LONGITUD:</b> -74.8002887<br>
<b>ICONO:</b> small_green
</div>",116,2303,10.9682144,-74.8002887,small_green
POINT (-74.798462 10.970826),CALLE 53D CON CARRERA 24 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 117<br>
<b>CODIGO:</b> 1307<br>
<b>LOCALIZACION:</b> CALLE 53D CON CARRERA 24 BARRANQUILLA<br>
<b>LATITUD:</b> 10.970826<br>
<b>LONGITUD:</b> -74.798462<br>
<b>ICONO:</b> small_green
</div>",117,1307,10.970826,-74.798462,small_green
POINT (-74.797588 10.972475),CALLE 53D CON CARRERA 25 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 118<br>
<b>CODIGO:</b> 5325<br>
<b>LOCALIZACION:</b> CALLE 53D CON CARRERA 25 BARRANQUILLA<br>
<b>LATITUD:</b> 10.972475<br>
<b>LONGITUD:</b> -74.797588<br>
<b>ICONO:</b> small_green
</div>",118,5325,10.972475,-74.797588,small_green
POINT (-74.7973705 10.97656),CALLE 53D CON CARRERA 31 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 119<br>
<b>CODIGO:</b> 5331<br>
<b>LOCALIZACION:</b> CALLE 53D CON CARRERA 31 BARRANQUILLA<br>
<b>LATITUD:</b> 10.97656<br>
<b>LONGITUD:</b> -74.7973705<br>
<b>ICONO:</b> small_green
</div>",119,5331,10.97656,-74.7973705,small_green
POINT (-74.7967611 10.9781534),CALLE 54 CON CARRERA 33 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 120<br>
<b>CODIGO:</b> 2434<br>
<b>LOCALIZACION:</b> CALLE 54 CON CARRERA 33 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9781534<br>
<b>LONGITUD:</b> -74.7967611<br>
<b>ICONO:</b> small_green
</div>",120,2434,10.9781534,-74.7967611,small_green
POINT (-74.7944106 10.9816451),CALLE 54 CON CARRERA 38 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 121<br>
<b>CODIGO:</b> 1158<br>
<b>LOCALIZACION:</b> CALLE 54 CON CARRERA 38 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9816451<br>
<b>LONGITUD:</b> -74.7944106<br>
<b>ICONO:</b> small_green
</div>",121,1158,10.9816451,-74.7944106,small_green
POINT (-74.793685 10.9828188),CALLE 54 CON CARRERA 41 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 122<br>
<b>CODIGO:</b> 1158<br>
<b>LOCALIZACION:</b> CALLE 54 CON CARRERA 41 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9828188<br>
<b>LONGITUD:</b> -74.793685<br>
<b>ICONO:</b> small_green
</div>",122,1158,10.9828188,-74.793685,small_green
POINT (-74.7925588 10.9846061),CALLE 54 CON CARRERA 43 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 123<br>
<b>CODIGO:</b> 1158<br>
<b>LOCALIZACION:</b> CALLE 54 CON CARRERA 43 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9846061<br>
<b>LONGITUD:</b> -74.7925588<br>
<b>ICONO:</b> small_green
</div>",123,1158,10.9846061,-74.7925588,small_green
POINT (-74.7919628 10.9861841),CALLE 54 CON CARRERA 44 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 124<br>
<b>CODIGO:</b> 1158<br>
<b>LOCALIZACION:</b> CALLE 54 CON CARRERA 44 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9861841<br>
<b>LONGITUD:</b> -74.7919628<br>
<b>ICONO:</b> small_green
</div>",124,1158,10.9861841,-74.7919628,small_green
POINT (-74.7913516 10.9881505),CALLE 54 CON CARRERA 45 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 125<br>
<b>CODIGO:</b> 2157<br>
<b>LOCALIZACION:</b> CALLE 54 CON CARRERA 45 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9881505<br>
<b>LONGITUD:</b> -74.7913516<br>
<b>ICONO:</b> small_green
</div>",125,2157,10.9881505,-74.7913516,small_green
POINT (-74.7910884 10.9890391),CALLE 54 CON CARRERA 46 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 126<br>
<b>CODIGO:</b> 2157<br>
<b>LOCALIZACION:</b> CALLE 54 CON CARRERA 46 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9890391<br>
<b>LONGITUD:</b> -74.7910884<br>
<b>ICONO:</b> small_green
</div>",126,2157,10.9890391,-74.7910884,small_green
POINT (-74.790591 10.9907684),CALLE 54 CON CARRERA 50 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 127<br>
<b>CODIGO:</b> 1277<br>
<b>LOCALIZACION:</b> CALLE 54 CON CARRERA 50 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9907684<br>
<b>LONGITUD:</b> -74.790591<br>
<b>ICONO:</b> small_green
</div>",127,1277,10.9907684,-74.790591,small_green
POINT (-74.7903144 10.9917181),CALLE 54 CON CARRERA 53 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 128<br>
<b>CODIGO:</b> 1277<br>
<b>LOCALIZACION:</b> CALLE 54 CON CARRERA 53 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9917181<br>
<b>LONGITUD:</b> -74.7903144<br>
<b>ICONO:</b> small_green
</div>",128,1277,10.9917181,-74.7903144,small_green
POINT (-74.7917523 10.989339),CALLE 55 CON CARRERA 46 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 129<br>
<b>CODIGO:</b> 5546<br>
<b>LOCALIZACION:</b> CALLE 55 CON CARRERA 46 BARRANQUILLA<br>
<b>LATITUD:</b> 10.989339<br>
<b>LONGITUD:</b> -74.7917523<br>
<b>ICONO:</b> small_green
</div>",129,5546,10.989339,-74.7917523,small_green
POINT (-74.791388 10.990703),CALLE 55 CON CARRERA 47 y 50 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 130<br>
<b>CODIGO:</b> 5550<br>
<b>LOCALIZACION:</b> CALLE 55 CON CARRERA 47 y 50 BARRANQUILLA<br>
<b>LATITUD:</b> 10.990703<br>
<b>LONGITUD:</b> -74.791388<br>
<b>ICONO:</b> small_green
</div>",130,5550,10.990703,-74.791388,small_green
POINT (-74.7912042 10.9927706),CALLE 55 CON CARRERA 54 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 131<br>
<b>CODIGO:</b> 5354<br>
<b>LOCALIZACION:</b> CALLE 55 CON CARRERA 54 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9927706<br>
<b>LONGITUD:</b> -74.7912042<br>
<b>ICONO:</b> small_green
</div>",131,5354,10.9927706,-74.7912042,small_green
POINT (-74.8087009 10.9535889),CALLE 56 CON CARRERA 9D BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 133<br>
<b>CODIGO:</b> 5609<br>
<b>LOCALIZACION:</b> CALLE 56 CON CARRERA 9D BARRANQUILLA<br>
<b>LATITUD:</b> 10.9535889<br>
<b>LONGITUD:</b> -74.8087009<br>
<b>ICONO:</b> small_green
</div>",133,5609,10.9535889,-74.8087009,small_green
POINT (-74.8012771 10.9713274),CALLE 57 CON CARRERA 24 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 134<br>
<b>CODIGO:</b> 1307<br>
<b>LOCALIZACION:</b> CALLE 57 CON CARRERA 24 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9713274<br>
<b>LONGITUD:</b> -74.8012771<br>
<b>ICONO:</b> small_green
</div>",134,1307,10.9713274,-74.8012771,small_green
POINT (-74.7914763 10.9928996),CALLE 58 CON CARRERA 54 BARRANQUILLA,"<div class=""googft-info-window"">
<b>No.:</b> 135<br>
<b>CODIGO:</b> 5354<br>
<b>LOCALIZACION:</b> CALLE 58 CON CARRERA 54 BARRANQUILLA<br>
<b>LATITUD:</b> 10.9928996<br>
<b>LONGITUD:</b> -74.7914763<br>
<b>ICONO:</b> small_green
</div>",135,5354,10.9928996,-74.7914763,small_green
